Reviewid,Sentiment
Review_11195,excellent
Review_11196,excellent
Review_11197,good
Review_11198,excellent
Review_11199,bad
Review_11200,excellent
Review_11201,good
Review_11202,good
Review_11203,good
Review_11204,good
Review_11205,good
Review_11206,good
Review_11207,excellent
Review_11208,excellent
Review_11209,good
Review_11210,good
Review_11211,bad
Review_11212,good
Review_11213,excellent
Review_11214,excellent
Review_11215,excellent
Review_11216,excellent
Review_11217,good
Review_11218,good
Review_11219,bad
Review_11220,bad
Review_11221,bad
Review_11222,bad
Review_11223,excellent
Review_11224,excellent
Review_11225,excellent
Review_11226,excellent
Review_11227,excellent
Review_11228,excellent
Review_11229,excellent
Review_11230,excellent
Review_11231,excellent
Review_11232,excellent
Review_11233,excellent
Review_11234,excellent
Review_11235,excellent
Review_11236,excellent
Review_11237,bad
Review_11238,excellent
Review_11239,excellent
Review_11240,excellent
Review_11241,excellent
Review_11242,excellent
Review_11243,excellent
Review_11244,excellent
Review_11245,excellent
Review_11246,excellent
Review_11247,excellent
Review_11248,good
Review_11249,excellent
Review_11250,bad
Review_11251,excellent
Review_11252,excellent
Review_11253,excellent
Review_11254,excellent
Review_11255,excellent
Review_11256,excellent
Review_11257,excellent
Review_11258,excellent
Review_11259,excellent
Review_11260,excellent
Review_11261,good
Review_11262,bad
Review_11263,excellent
Review_11264,excellent
Review_11265,excellent
Review_11266,excellent
Review_11267,good
Review_11268,excellent
Review_11269,good
Review_11270,excellent
Review_11271,good
Review_11272,excellent
Review_11273,bad
Review_11274,excellent
Review_11275,excellent
Review_11276,excellent
Review_11277,excellent
Review_11278,excellent
Review_11279,good
Review_11280,good
Review_11281,bad
Review_11282,good
Review_11283,good
Review_11284,bad
Review_11285,good
Review_11286,good
Review_11287,good
Review_11288,good
Review_11289,good
Review_11290,excellent
Review_11291,good
Review_11292,bad
Review_11293,excellent
Review_11294,bad
Review_11295,good
Review_11296,excellent
Review_11297,bad
Review_11298,excellent
Review_11299,bad
Review_11300,bad
Review_11301,excellent
Review_11302,good
Review_11303,bad
Review_11304,good
Review_11305,good
Review_11306,excellent
Review_11307,excellent
Review_11308,good
Review_11309,excellent
Review_11310,good
Review_11311,good
Review_11312,bad
Review_11313,bad
Review_11314,bad
Review_11315,bad
Review_11316,good
Review_11317,good
Review_11318,bad
Review_11319,good
Review_11320,excellent
Review_11321,excellent
Review_11322,bad
Review_11323,good
Review_11324,good
Review_11325,good
Review_11326,good
Review_11327,bad
Review_11328,bad
Review_11329,good
Review_11330,excellent
Review_11331,excellent
Review_11332,good
Review_11333,excellent
Review_11334,excellent
Review_11335,good
Review_11336,good
Review_11337,excellent
Review_11338,good
Review_11339,good
Review_11340,good
Review_11341,good
Review_11342,good
Review_11343,good
Review_11344,good
Review_11345,good
Review_11346,bad
Review_11347,good
Review_11348,bad
Review_11349,good
Review_11350,bad
Review_11351,good
Review_11352,excellent
Review_11353,good
Review_11354,excellent
Review_11355,good
Review_11356,bad
Review_11357,good
Review_11358,bad
Review_11359,good
Review_11360,bad
Review_11361,bad
Review_11362,excellent
Review_11363,bad
Review_11364,bad
Review_11365,excellent
Review_11366,excellent
Review_11367,excellent
Review_11368,good
Review_11369,excellent
Review_11370,good
Review_11371,good
Review_11372,bad
Review_11373,good
Review_11374,excellent
Review_11375,excellent
Review_11376,excellent
Review_11377,excellent
Review_11378,excellent
Review_11379,excellent
Review_11380,bad
Review_11381,excellent
Review_11382,good
Review_11383,excellent
Review_11384,bad
Review_11385,good
Review_11386,bad
Review_11387,good
Review_11388,good
Review_11389,bad
Review_11390,excellent
Review_11391,good
Review_11392,excellent
Review_11393,excellent
Review_11394,bad
Review_11395,good
Review_11396,excellent
Review_11397,good
Review_11398,good
Review_11399,bad
Review_11400,excellent
Review_11401,good
Review_11402,good
Review_11403,excellent
Review_11404,excellent
Review_11405,good
Review_11406,good
Review_11407,bad
Review_11408,good
Review_11409,bad
Review_11410,bad
Review_11411,good
Review_11412,excellent
Review_11413,excellent
Review_11414,excellent
Review_11415,good
Review_11416,excellent
Review_11417,good
Review_11418,excellent
Review_11419,good
Review_11420,good
Review_11421,excellent
Review_11422,good
Review_11423,excellent
Review_11424,excellent
Review_11425,good
Review_11426,excellent
Review_11427,good
Review_11428,excellent
Review_11429,good
Review_11430,good
Review_11431,excellent
Review_11432,good
Review_11433,good
Review_11434,bad
Review_11435,excellent
Review_11436,good
Review_11437,good
Review_11438,good
Review_11439,excellent
Review_11440,good
Review_11441,excellent
Review_11442,excellent
Review_11443,good
Review_11444,excellent
Review_11445,good
Review_11446,excellent
Review_11447,good
Review_11448,good
Review_11449,good
Review_11450,good
Review_11451,excellent
Review_11452,excellent
Review_11453,good
Review_11454,excellent
Review_11455,excellent
Review_11456,good
Review_11457,excellent
Review_11458,good
Review_11459,good
Review_11460,good
Review_11461,good
Review_11462,excellent
Review_11463,excellent
Review_11464,bad
Review_11465,good
Review_11466,bad
Review_11467,good
Review_11468,excellent
Review_11469,excellent
Review_11470,good
Review_11471,bad
Review_11472,good
Review_11473,good
Review_11474,good
Review_11475,good
Review_11476,excellent
Review_11477,excellent
Review_11478,excellent
Review_11479,good
Review_11480,good
Review_11481,bad
Review_11482,excellent
Review_11483,excellent
Review_11484,bad
Review_11485,bad
Review_11486,bad
Review_11487,excellent
Review_11488,bad
Review_11489,excellent
Review_11490,excellent
Review_11491,good
Review_11492,good
Review_11493,bad
Review_11494,good
Review_11495,bad
Review_11496,excellent
Review_11497,good
Review_11498,good
Review_11499,good
Review_11500,good
Review_11501,good
Review_11502,good
Review_11503,bad
Review_11504,excellent
Review_11505,excellent
Review_11506,bad
Review_11507,excellent
Review_11508,bad
Review_11509,good
Review_11510,good
Review_11511,bad
Review_11512,bad
Review_11513,good
Review_11514,bad
Review_11515,good
Review_11516,good
Review_11517,good
Review_11518,good
Review_11519,good
Review_11520,good
Review_11521,good
Review_11522,good
Review_11523,good
Review_11524,good
Review_11525,good
Review_11526,good
Review_11527,good
Review_11528,good
Review_11529,good
Review_11530,good
Review_11531,excellent
Review_11532,good
Review_11533,good
Review_11534,good
Review_11535,good
Review_11536,good
Review_11537,good
Review_11538,excellent
Review_11539,good
Review_11540,bad
Review_11541,good
Review_11542,excellent
Review_11543,bad
Review_11544,excellent
Review_11545,good
Review_11546,bad
Review_11547,bad
Review_11548,good
Review_11549,good
Review_11550,good
Review_11551,bad
Review_11552,bad
Review_11553,bad
Review_11554,good
Review_11555,good
Review_11556,excellent
Review_11557,good
Review_11558,excellent
Review_11559,bad
Review_11560,excellent
Review_11561,excellent
Review_11562,excellent
Review_11563,bad
Review_11564,excellent
Review_11565,good
Review_11566,bad
Review_11567,good
Review_11568,good
Review_11569,excellent
Review_11570,excellent
Review_11571,good
Review_11572,good
Review_11573,bad
Review_11574,good
Review_11575,good
Review_11576,good
Review_11577,excellent
Review_11578,good
Review_11579,good
Review_11580,excellent
Review_11581,excellent
Review_11582,excellent
Review_11583,bad
Review_11584,excellent
Review_11585,excellent
Review_11586,good
Review_11587,excellent
Review_11588,bad
Review_11589,bad
Review_11590,good
Review_11591,good
Review_11592,bad
Review_11593,bad
Review_11594,excellent
Review_11595,good
Review_11596,good
Review_11597,good
Review_11598,bad
Review_11599,excellent
Review_11600,bad
Review_11601,good
Review_11602,bad
Review_11603,good
Review_11604,excellent
Review_11605,excellent
Review_11606,bad
Review_11607,good
Review_11608,bad
Review_11609,good
Review_11610,good
Review_11611,good
Review_11612,good
Review_11613,bad
Review_11614,good
Review_11615,excellent
Review_11616,good
Review_11617,excellent
Review_11618,bad
Review_11619,bad
Review_11620,good
Review_11621,excellent
Review_11622,good
Review_11623,good
Review_11624,bad
Review_11625,bad
Review_11626,excellent
Review_11627,excellent
Review_11628,bad
Review_11629,good
Review_11630,excellent
Review_11631,bad
Review_11632,good
Review_11633,good
Review_11634,good
Review_11635,bad
Review_11636,good
Review_11637,good
Review_11638,excellent
Review_11639,good
Review_11640,bad
Review_11641,excellent
Review_11642,bad
Review_11643,good
Review_11644,excellent
Review_11645,excellent
Review_11646,bad
Review_11647,good
Review_11648,bad
Review_11649,good
Review_11650,bad
Review_11651,bad
Review_11652,excellent
Review_11653,bad
Review_11654,good
Review_11655,excellent
Review_11656,bad
Review_11657,good
Review_11658,good
Review_11659,bad
Review_11660,bad
Review_11661,excellent
Review_11662,bad
Review_11663,excellent
Review_11664,bad
Review_11665,bad
Review_11666,bad
Review_11667,bad
Review_11668,bad
Review_11669,bad
Review_11670,excellent
Review_11671,bad
Review_11672,good
Review_11673,bad
Review_11674,excellent
Review_11675,bad
Review_11676,good
Review_11677,bad
Review_11678,good
Review_11679,good
Review_11680,good
Review_11681,bad
Review_11682,good
Review_11683,excellent
Review_11684,excellent
Review_11685,excellent
Review_11686,good
Review_11687,excellent
Review_11688,excellent
Review_11689,good
Review_11690,good
Review_11691,excellent
Review_11692,good
Review_11693,excellent
Review_11694,excellent
Review_11695,bad
Review_11696,good
Review_11697,good
Review_11698,bad
Review_11699,excellent
Review_11700,good
Review_11701,good
Review_11702,good
Review_11703,good
Review_11704,good
Review_11705,good
Review_11706,excellent
Review_11707,good
Review_11708,excellent
Review_11709,bad
Review_11710,good
Review_11711,bad
Review_11712,bad
Review_11713,excellent
Review_11714,excellent
Review_11715,bad
Review_11716,good
Review_11717,bad
Review_11718,excellent
Review_11719,excellent
Review_11720,excellent
Review_11721,good
Review_11722,good
Review_11723,good
Review_11724,good
Review_11725,bad
Review_11726,good
Review_11727,excellent
Review_11728,good
Review_11729,bad
Review_11730,good
Review_11731,good
Review_11732,good
Review_11733,bad
Review_11734,excellent
Review_11735,excellent
Review_11736,good
Review_11737,good
Review_11738,good
Review_11739,good
Review_11740,excellent
Review_11741,good
Review_11742,good
Review_11743,excellent
Review_11744,good
Review_11745,good
Review_11746,good
Review_11747,good
Review_11748,good
Review_11749,excellent
Review_11750,good
Review_11751,excellent
Review_11752,excellent
Review_11753,bad
Review_11754,bad
Review_11755,excellent
Review_11756,excellent
Review_11757,good
Review_11758,excellent
Review_11759,bad
Review_11760,bad
Review_11761,good
Review_11762,good
Review_11763,good
Review_11764,good
Review_11765,excellent
Review_11766,excellent
Review_11767,good
Review_11768,bad
Review_11769,good
Review_11770,excellent
Review_11771,excellent
Review_11772,excellent
Review_11773,excellent
Review_11774,excellent
Review_11775,good
Review_11776,good
Review_11777,bad
Review_11778,excellent
Review_11779,good
Review_11780,excellent
Review_11781,excellent
Review_11782,excellent
Review_11783,excellent
Review_11784,bad
Review_11785,excellent
Review_11786,bad
Review_11787,good
Review_11788,bad
Review_11789,excellent
Review_11790,good
Review_11791,good
Review_11792,excellent
Review_11793,good
Review_11794,bad
Review_11795,excellent
Review_11796,bad
Review_11797,good
Review_11798,good
Review_11799,excellent
Review_11800,excellent
Review_11801,good
Review_11802,good
Review_11803,excellent
Review_11804,good
Review_11805,excellent
Review_11806,excellent
Review_11807,excellent
Review_11808,bad
Review_11809,bad
Review_11810,excellent
Review_11811,excellent
Review_11812,good
Review_11813,excellent
Review_11814,bad
Review_11815,bad
Review_11816,excellent
Review_11817,excellent
Review_11818,bad
Review_11819,excellent
Review_11820,excellent
Review_11821,excellent
Review_11822,excellent
Review_11823,excellent
Review_11824,excellent
Review_11825,bad
Review_11826,excellent
Review_11827,bad
Review_11828,excellent
Review_11829,good
Review_11830,good
Review_11831,excellent
Review_11832,excellent
Review_11833,good
Review_11834,bad
Review_11835,bad
Review_11836,bad
Review_11837,good
Review_11838,bad
Review_11839,good
Review_11840,bad
Review_11841,excellent
Review_11842,good
Review_11843,bad
Review_11844,bad
Review_11845,good
Review_11846,bad
Review_11847,bad
Review_11848,good
Review_11849,bad
Review_11850,bad
Review_11851,bad
Review_11852,excellent
Review_11853,bad
Review_11854,good
Review_11855,good
Review_11856,good
Review_11857,bad
Review_11858,excellent
Review_11859,good
Review_11860,good
Review_11861,good
Review_11862,good
Review_11863,good
Review_11864,bad
Review_11865,good
Review_11866,good
Review_11867,good
Review_11868,good
Review_11869,good
Review_11870,good
Review_11871,good
Review_11872,good
Review_11873,bad
Review_11874,good
Review_11875,good
Review_11876,good
Review_11877,good
Review_11878,good
Review_11879,good
Review_11880,excellent
Review_11881,good
Review_11882,good
Review_11883,excellent
Review_11884,good
Review_11885,excellent
Review_11886,excellent
Review_11887,good
Review_11888,good
Review_11889,bad
Review_11890,good
Review_11891,good
Review_11892,excellent
Review_11893,good
Review_11894,bad
Review_11895,excellent
Review_11896,bad
Review_11897,good
Review_11898,bad
Review_11899,bad
Review_11900,excellent
Review_11901,good
Review_11902,good
Review_11903,excellent
Review_11904,good
Review_11905,excellent
Review_11906,good
Review_11907,bad
Review_11908,excellent
Review_11909,good
Review_11910,bad
Review_11911,good
Review_11912,excellent
Review_11913,bad
Review_11914,good
Review_11915,good
Review_11916,bad
Review_11917,bad
Review_11918,good
Review_11919,bad
Review_11920,bad
Review_11921,good
Review_11922,good
Review_11923,excellent
Review_11924,bad
Review_11925,excellent
Review_11926,bad
Review_11927,good
Review_11928,good
Review_11929,good
Review_11930,good
Review_11931,good
Review_11932,excellent
Review_11933,good
Review_11934,bad
Review_11935,good
Review_11936,bad
Review_11937,bad
Review_11938,bad
Review_11939,good
Review_11940,good
Review_11941,good
Review_11942,good
Review_11943,good
Review_11944,excellent
Review_11945,bad
Review_11946,good
Review_11947,bad
Review_11948,good
Review_11949,good
Review_11950,good
Review_11951,excellent
Review_11952,excellent
Review_11953,bad
Review_11954,good
Review_11955,excellent
Review_11956,excellent
Review_11957,excellent
Review_11958,good
Review_11959,bad
Review_11960,bad
Review_11961,good
Review_11962,good
Review_11963,excellent
Review_11964,good
Review_11965,good
Review_11966,bad
Review_11967,excellent
Review_11968,bad
Review_11969,bad
Review_11970,good
Review_11971,excellent
Review_11972,good
Review_11973,bad
Review_11974,bad
Review_11975,excellent
Review_11976,excellent
Review_11977,good
Review_11978,good
Review_11979,bad
Review_11980,excellent
Review_11981,excellent
Review_11982,good
Review_11983,good
Review_11984,excellent
Review_11985,excellent
Review_11986,excellent
Review_11987,good
Review_11988,bad
Review_11989,good
Review_11990,excellent
Review_11991,good
Review_11992,bad
Review_11993,good
Review_11994,bad
Review_11995,good
Review_11996,excellent
Review_11997,good
Review_11998,good
Review_11999,excellent
Review_12000,excellent
Review_12001,excellent
Review_12002,good
Review_12003,good
Review_12004,good
Review_12005,excellent
Review_12006,good
Review_12007,bad
Review_12008,good
Review_12009,excellent
Review_12010,excellent
Review_12011,good
Review_12012,excellent
Review_12013,excellent
Review_12014,excellent
Review_12015,excellent
Review_12016,good
Review_12017,excellent
Review_12018,good
Review_12019,excellent
Review_12020,excellent
Review_12021,good
Review_12022,good
Review_12023,excellent
Review_12024,good
Review_12025,bad
Review_12026,excellent
Review_12027,good
Review_12028,excellent
Review_12029,excellent
Review_12030,excellent
Review_12031,good
Review_12032,good
Review_12033,bad
Review_12034,good
Review_12035,excellent
Review_12036,bad
Review_12037,excellent
Review_12038,good
Review_12039,bad
Review_12040,good
Review_12041,excellent
Review_12042,good
Review_12043,good
Review_12044,excellent
Review_12045,good
Review_12046,bad
Review_12047,bad
Review_12048,good
Review_12049,good
Review_12050,excellent
Review_12051,good
Review_12052,excellent
Review_12053,good
Review_12054,good
Review_12055,bad
Review_12056,good
Review_12057,excellent
Review_12058,bad
Review_12059,excellent
Review_12060,excellent
Review_12061,excellent
Review_12062,good
Review_12063,good
Review_12064,excellent
Review_12065,good
Review_12066,good
Review_12067,excellent
Review_12068,good
Review_12069,excellent
Review_12070,good
Review_12071,excellent
Review_12072,excellent
Review_12073,good
Review_12074,good
Review_12075,good
Review_12076,excellent
Review_12077,bad
Review_12078,bad
Review_12079,good
Review_12080,excellent
Review_12081,excellent
Review_12082,bad
Review_12083,excellent
Review_12084,good
Review_12085,good
Review_12086,good
Review_12087,good
Review_12088,excellent
Review_12089,bad
Review_12090,good
Review_12091,good
Review_12092,good
Review_12093,excellent
Review_12094,good
Review_12095,bad
Review_12096,good
Review_12097,bad
Review_12098,good
Review_12099,good
Review_12100,good
Review_12101,bad
Review_12102,good
Review_12103,bad
Review_12104,excellent
Review_12105,bad
Review_12106,bad
Review_12107,good
Review_12108,good
Review_12109,good
Review_12110,good
Review_12111,bad
Review_12112,good
Review_12113,good
Review_12114,excellent
Review_12115,excellent
Review_12116,excellent
Review_12117,excellent
Review_12118,excellent
Review_12119,bad
Review_12120,excellent
Review_12121,excellent
Review_12122,bad
Review_12123,bad
Review_12124,bad
Review_12125,bad
Review_12126,good
Review_12127,good
Review_12128,bad
Review_12129,good
Review_12130,good
Review_12131,good
Review_12132,good
Review_12133,good
Review_12134,good
Review_12135,good
Review_12136,bad
Review_12137,bad
Review_12138,bad
Review_12139,bad
Review_12140,good
Review_12141,good
Review_12142,bad
Review_12143,good
Review_12144,good
Review_12145,bad
Review_12146,good
Review_12147,good
Review_12148,good
Review_12149,excellent
Review_12150,good
Review_12151,good
Review_12152,bad
Review_12153,bad
Review_12154,good
Review_12155,good
Review_12156,bad
Review_12157,good
Review_12158,good
Review_12159,bad
Review_12160,good
Review_12161,excellent
Review_12162,good
Review_12163,good
Review_12164,good
Review_12165,good
Review_12166,bad
Review_12167,good
Review_12168,good
Review_12169,bad
Review_12170,good
Review_12171,bad
Review_12172,excellent
Review_12173,good
Review_12174,bad
Review_12175,good
Review_12176,good
Review_12177,bad
Review_12178,good
Review_12179,bad
Review_12180,excellent
Review_12181,good
Review_12182,good
Review_12183,good
Review_12184,bad
Review_12185,excellent
Review_12186,bad
Review_12187,good
Review_12188,bad
Review_12189,good
Review_12190,good
Review_12191,good
Review_12192,bad
Review_12193,bad
Review_12194,good
Review_12195,bad
Review_12196,excellent
Review_12197,bad
Review_12198,excellent
Review_12199,good
Review_12200,good
Review_12201,good
Review_12202,good
Review_12203,good
Review_12204,good
Review_12205,good
Review_12206,good
Review_12207,bad
Review_12208,good
Review_12209,bad
Review_12210,good
Review_12211,excellent
Review_12212,bad
Review_12213,good
Review_12214,good
Review_12215,bad
Review_12216,good
Review_12217,excellent
Review_12218,good
Review_12219,good
Review_12220,good
Review_12221,excellent
Review_12222,good
Review_12223,good
Review_12224,excellent
Review_12225,excellent
Review_12226,excellent
Review_12227,bad
Review_12228,excellent
Review_12229,good
Review_12230,good
Review_12231,good
Review_12232,good
Review_12233,good
Review_12234,bad
Review_12235,good
Review_12236,good
Review_12237,excellent
Review_12238,excellent
Review_12239,good
Review_12240,good
Review_12241,excellent
Review_12242,bad
Review_12243,bad
Review_12244,good
Review_12245,good
Review_12246,good
Review_12247,excellent
Review_12248,good
Review_12249,excellent
Review_12250,good
Review_12251,bad
Review_12252,excellent
Review_12253,bad
Review_12254,good
Review_12255,bad
Review_12256,good
Review_12257,good
Review_12258,good
Review_12259,bad
Review_12260,good
Review_12261,good
Review_12262,excellent
Review_12263,good
Review_12264,excellent
Review_12265,good
Review_12266,good
Review_12267,good
Review_12268,excellent
Review_12269,excellent
Review_12270,good
Review_12271,excellent
Review_12272,good
Review_12273,excellent
Review_12274,excellent
Review_12275,good
Review_12276,bad
Review_12277,bad
Review_12278,bad
Review_12279,good
Review_12280,excellent
Review_12281,excellent
Review_12282,excellent
Review_12283,good
Review_12284,excellent
Review_12285,excellent
Review_12286,good
Review_12287,good
Review_12288,good
Review_12289,good
Review_12290,good
Review_12291,excellent
Review_12292,good
Review_12293,bad
Review_12294,excellent
Review_12295,good
Review_12296,excellent
Review_12297,excellent
Review_12298,good
Review_12299,bad
Review_12300,bad
Review_12301,excellent
Review_12302,good
Review_12303,good
Review_12304,excellent
Review_12305,excellent
Review_12306,good
Review_12307,excellent
Review_12308,good
Review_12309,good
Review_12310,good
Review_12311,good
Review_12312,bad
Review_12313,good
Review_12314,bad
Review_12315,excellent
Review_12316,good
Review_12317,good
Review_12318,bad
Review_12319,good
Review_12320,bad
Review_12321,good
Review_12322,good
Review_12323,excellent
Review_12324,good
Review_12325,good
Review_12326,good
Review_12327,good
Review_12328,good
Review_12329,bad
Review_12330,good
Review_12331,good
Review_12332,good
Review_12333,good
Review_12334,good
Review_12335,good
Review_12336,excellent
Review_12337,good
Review_12338,excellent
Review_12339,good
Review_12340,good
Review_12341,excellent
Review_12342,bad
Review_12343,excellent
Review_12344,bad
Review_12345,bad
Review_12346,good
Review_12347,good
Review_12348,good
Review_12349,excellent
Review_12350,bad
Review_12351,excellent
Review_12352,good
Review_12353,good
Review_12354,good
Review_12355,bad
Review_12356,good
Review_12357,good
Review_12358,good
Review_12359,good
Review_12360,good
Review_12361,good
Review_12362,good
Review_12363,good
Review_12364,excellent
Review_12365,good
Review_12366,good
Review_12367,excellent
Review_12368,good
Review_12369,good
Review_12370,good
Review_12371,good
Review_12372,excellent
Review_12373,good
Review_12374,good
Review_12375,good
Review_12376,excellent
Review_12377,excellent
Review_12378,good
Review_12379,good
Review_12380,good
Review_12381,good
Review_12382,excellent
Review_12383,good
Review_12384,good
Review_12385,good
Review_12386,excellent
Review_12387,excellent
Review_12388,excellent
Review_12389,excellent
Review_12390,good
Review_12391,excellent
Review_12392,good
Review_12393,good
Review_12394,good
Review_12395,good
Review_12396,good
Review_12397,excellent
Review_12398,good
Review_12399,good
Review_12400,bad
Review_12401,good
Review_12402,bad
Review_12403,good
Review_12404,good
Review_12405,good
Review_12406,good
Review_12407,good
Review_12408,good
Review_12409,bad
Review_12410,good
Review_12411,excellent
Review_12412,excellent
Review_12413,excellent
Review_12414,good
Review_12415,good
Review_12416,good
Review_12417,good
Review_12418,good
Review_12419,excellent
Review_12420,excellent
Review_12421,excellent
Review_12422,good
Review_12423,good
Review_12424,excellent
Review_12425,good
Review_12426,good
Review_12427,bad
Review_12428,good
Review_12429,good
Review_12430,excellent
Review_12431,excellent
Review_12432,good
Review_12433,good
Review_12434,good
Review_12435,good
Review_12436,excellent
Review_12437,good
Review_12438,good
Review_12439,excellent
Review_12440,bad
Review_12441,excellent
Review_12442,good
Review_12443,good
Review_12444,good
Review_12445,good
Review_12446,good
Review_12447,good
Review_12448,bad
Review_12449,bad
Review_12450,good
Review_12451,bad
Review_12452,good
Review_12453,bad
Review_12454,excellent
Review_12455,excellent
Review_12456,good
Review_12457,good
Review_12458,good
Review_12459,bad
Review_12460,excellent
Review_12461,excellent
Review_12462,good
Review_12463,bad
Review_12464,bad
Review_12465,excellent
Review_12466,bad
Review_12467,excellent
Review_12468,good
Review_12469,good
Review_12470,good
Review_12471,good
Review_12472,excellent
Review_12473,good
Review_12474,good
Review_12475,excellent
Review_12476,good
Review_12477,good
Review_12478,good
Review_12479,good
Review_12480,good
Review_12481,good
Review_12482,excellent
Review_12483,excellent
Review_12484,good
Review_12485,good
Review_12486,good
Review_12487,excellent
Review_12488,good
Review_12489,excellent
Review_12490,bad
Review_12491,bad
Review_12492,excellent
Review_12493,good
Review_12494,good
Review_12495,bad
Review_12496,good
Review_12497,good
Review_12498,excellent
Review_12499,good
Review_12500,good
Review_12501,good
Review_12502,excellent
Review_12503,good
Review_12504,excellent
Review_12505,good
Review_12506,good
Review_12507,bad
Review_12508,good
Review_12509,good
Review_12510,good
Review_12511,bad
Review_12512,good
Review_12513,good
Review_12514,good
Review_12515,good
Review_12516,good
Review_12517,good
Review_12518,good
Review_12519,bad
Review_12520,bad
Review_12521,good
Review_12522,excellent
Review_12523,good
Review_12524,good
Review_12525,good
Review_12526,good
Review_12527,excellent
Review_12528,good
Review_12529,good
Review_12530,good
Review_12531,good
Review_12532,good
Review_12533,excellent
Review_12534,excellent
Review_12535,excellent
Review_12536,excellent
Review_12537,excellent
Review_12538,excellent
Review_12539,good
Review_12540,good
Review_12541,excellent
Review_12542,good
Review_12543,good
Review_12544,good
Review_12545,good
Review_12546,excellent
Review_12547,good
Review_12548,excellent
Review_12549,excellent
Review_12550,good
Review_12551,excellent
Review_12552,excellent
Review_12553,excellent
Review_12554,good
Review_12555,excellent
Review_12556,good
Review_12557,good
Review_12558,excellent
Review_12559,excellent
Review_12560,excellent
Review_12561,good
Review_12562,good
Review_12563,excellent
Review_12564,excellent
Review_12565,bad
Review_12566,excellent
Review_12567,bad
Review_12568,good
Review_12569,good
Review_12570,excellent
Review_12571,excellent
Review_12572,good
Review_12573,bad
Review_12574,good
Review_12575,bad
Review_12576,good
Review_12577,good
Review_12578,excellent
Review_12579,good
Review_12580,excellent
Review_12581,excellent
Review_12582,bad
