"Hotelid","userid","reviewtext","Date","NoOfReaders","HelpfulToNoOfreaders","Value_rating","Rooms_rating","Location_rating","Cleanliness_rating","Checkin_rating","Service_rating","Businessservice_rating","AverageOverallRatingOfHotel","AveragePricing"
"hotel_104","hotel_1268","Go Somewhere Else If you can, go somewhere else in the Caribbean. Ponce, as a town, is pretty awful, with nothing to see, many abandoned buildings and little to do outside of going to the beach, which definitely has some shady people loitering around. As for the hotel, I'm sure it was nice... 25 years ago. Currently, it's tired and doesn't deserve the category 5 rating it gets from Hilton. As a caveat, I don't have a family, and this hotel is big on kid-friendly activities, and I didn't play golf, so individuals with those travel requirements may feel differently. But in a word, I found this hotel disappointing. I have stayed at Hilton's in Hawaii (Hawaiin Village) and Barbados, as well at other hotels (Marriott  Sheraton) in St. Thomas and Bermuda. I found all of those hotels far exceed the quality of accommodations and service at the Ponce Hilton. The rooms here have turquoise industrial-quality tile (think nursing home), turquoise walls and 2 rugs on each side of the bed that look like they are from wal-mart. The luxury bathrooms you expect at such a hotel are non-existent. The bathrooms are utilitarian at best (think HoJo) - and were far exceeded in luxury and comfort by the hampton inn at which we stayed in San Juan. Room service plates sit outside doors all day and into the night. Although the grounds are pretty, the only medium-sized pool does not have a seperate area for adults only (as they do in Barbados) and it is overrun with kids, both on vacation and local kids who presumably belong to Hilton's beach club. There is also no supervision - we literally saw a group of kids screaming profanities at each other and egging on two little girls to hit one another. No one intervened. Towels are hard to find and gone by noon. The one hot tub, which holds 6-8 people, had pineapple rinds both inside and surrounding the tub. The work out facilities, like the hotel, are outdated with only 2 rickety treadmills. All of the Hilton's I stay at for work (52 nights in this past year alone) are superior to this hotel. Luckily, we used points to stay here and although we are disappointed, at least we did not pay hundreds of dollars a night.IF you do stay here, one very bright spot is Nadine, the concierge who is extremely helpful, candid and friendly. Also we had a good meal at La Cava and although expensive, the quality of the food befits the price.","Dec 28, 2007","3","3",2,2,2,3,3,3,5,"4","$227"
"hotel_104","hotel_1489","3 Star hotel pretending to be a 5 star hotel Beware. This hotel pretends to be considered 5 stars, but at best they are a 3 star with ocean view. The service ranges from OK to mediocre, and the food is very expensive. The rooms are nothing to die for, and the main lobby is way too dark considering the extremely elevated crime rate of the area. If you are driving to the property you'll have to pay a parking fee. The interesting fact is that they have no personnel at the gate because a bunch of crooks assaulted them with shotguns and took all the money from their petty cash (a hotel employee actually told me this fact). So yes, crime will be at your doorstep, so be extremely careful and on the lookout.Some of the hotel staff are nice, but in general they don't make you feel welcome to the place.","Dec 11, 2007","3","3",2,4,4,3,4,3,2,"4","$227"
"hotel_104","hotel_7343","Great get Away Just got back after 4 night stay. The hotel itself is great , exceptionally clean, well maintained and quiet. There are staff members that need to be trained in hospitality and being cordial. They have a little casino which caters mostly to locals and unfortunately theres a lot of nepotism. Customer grievances are handled hap-hazardly and unprofessionally. The wait staff really try to treat customers like family and do a fantastic job. The casino rates players but All I was able to get after 4 days of blackjack at $10 a hand was 4 virgin pina coladas, I took them. The slots are just tight . Since its that nicest hotel in the area I don't have much to choose from. Since my family lives in the area I have to deal with it. If you come here hope for a positve experience but remember youv'e been warned. It's in a isolated spot, there plenty of sun but beach is like volcanic ash. They charged $4.50 for guests to park overnight even thoough I was in the casino playing but locals have parking validated. They charge a $11.90 resort tax and there are no boats, kayaks or beach toys. They have a little gym and restaurants I did not patronize. A day trip to Ponce area can be done in three hours.","Dec 6, 2007","1","1",4,6,5,6,5,6,1,"4","$227"
"hotel_104","hotel_5504","Excellent retreat This is our third visit to Ponce Hilton. In addition to its excellent staff, Ponce Hilton offers many amenities at a reasonable rate. We walked around the grounds (kept very clean) in the morning and used the fitness center and the pool in the main hotel. We did not have time to use the pool at the Clubhouse, but we highly recommend it to those who prefer a quieter setting. Mosquitoes were not a huge problem. The hotel sprayed at night and kept the grounds free of debris. As for food, we had the continental breakfast and lunch at the hotel. The cold breakfast buffet offers numerous choices including fresh fruit, yogurt, soy, juices, cheeses, cereals, pastries, etc. You have the option of a hot breakfast as well. Ponce Hilton is an excellent choice if you plan to explore historic Ponce and Puerto Rico's southern beaches, forests, and other natural preserves. Before you venture out, make sure to stop at the front desk to confirm travel routes and other important information. We were planning to visit Gilligan's Island during our stay but changed our plans based on the information the consierge obtained from the boat operator when she contacted the company on our behalf. The main dock at Gilligan's had been damaged by recent period of heavy rain. The boat was still operating but accessibility was more difficult.","Nov 16, 2007","1","1",6,5,6,5,6,6,6,"4","$227"
"hotel_104","hotel_7699","Mosquito and dengue fever My wife and I drove from San Juan to stay 1 night.The hotel is nice but not great. The hotel and rooms are dated modern.Our room was OK, had a fridge, loved the A/C. Being a Diamond VIP, I had a selection of chocolates and strawberry and a large bottle of Fiji water waiting.The hotel has a casino which doesn't even call my attention. A nicely styled outdoor pool, a poor, ratty fitness center, a so-so beach area (watch out for the undertow) with soft, fine dark sand.All rooms are accessed from the exterior. We were in the executive tower which I guess is supposed to be exclusive.NOW, the very bad part: Perhaps due to the recent rains per a local (Ponce is on the leeward side of the island--drier and hotter) or not, but there was a horrendous mosquito invasion that could not be avoided even in the rooms. Despite heavy chemical spraying, they thrived loving the recessed door and patio areas of each room. Did I mention that Puerto Rico is closely monitoring an outbreak of dengue fever? We and others were running and flailing our arms and towels when going outside the rooms--remember all rooms are accessed from the exterior. It truly was horrible. We slept with the A/C fan on high (very impressive), temp set at 60 degrees with the ceiling fan on high over the bed--we slept with the covers covering our heads all because of the mosquitoes.Not even the free night using points was comforting and I still paid for parking.Nothing great at all.","Nov 8, 2007","3","2",2,3,3,5,3,3,1,"4","$227"
"hotel_104","hotel_5881","Nice, clean Good rate on hotwire, not a bad place. Nothing much around it though, kind of isolated. Decent hotel, exotic looking pool. not bad.","Oct 20, 2007","0","0",4,4,4,4,4,4,3,"4","$227"
"hotel_104","hotel_6744","Wedded Bliss I was getting married at a local mansion, Castillo Serralles about 15 minutes away and felt this would be the best place to host my guests, and did not regret it.We started planning our wedding in March and had continious communication with Enid Montes in customer service. She is by far one of the most helpful persons there. She ensured that our guests got the best accomidations, and catered to their every need. She was also helpful in getting a limo two days before our wedding, and gave wonderful recommendations for local venues.The day of my wedding they allowed me to check into my room in the morning in order to relax and get ready for the chaotic day. My husband and I booked a spa day the day before and the girls at the spa are AMAZING. Gladys and Carla were so friendly and did a wonderful job. On the day of my wedding my stylist cancelled and Gladys was able to acommodate me the morning of the wedding.The room service was a bit slow, but I understood the hotel was hosting two conventions that weekend..so I was not disturbed.In terms of the appearance....I LOVED IT. The pool is open 24 hours a day, and each pool is clean and enough to host children and adults alike. True indeed once you leave the facilities it's not as picturesque as you'd like it to be but in all my travels I've encountered the same experience. I will say that my non Spanish speaking guests were able to get to hotel quickly because it is right off of Highway 2.My husband and I have decided that whenever we go to the enchanted island of Puerto Rico we will have to stay at least one night at the Ponce Hilton. We love it and would recommend the hotel to everyone.","Sep 25, 2007","3","3",6,6,6,6,6,6,6,"4","$227"
"hotel_104","hotel_2426","Best hotel in the area I have stayed at this hotel at least 15 times and finally decided to write a review. This is nicest hotel in the area. Nice pool area . The beach area is nothing to write home about. After you leave the hotel beach area, the walk along the beach to the city park is nothing more than a garbage dump. I have always stayed on business. The executive lounge area room is a great benefit if you are Hilton Honors Gold. Free internet ,free snacks etc. Rooms are above average.The rooms in the Tower are newer but more walking.self parking only 4.50. Be prepared for slow service in the resturant for dinner. I usually go to the bar for a smaller menu and faster service. All the common areas are non smoking.The staff is excellent.Slow service in resturants is typical in Puerto Rico.","Sep 1, 2007","3","3",1,1,1,1,1,1,1,"4","$227"
"hotel_104","hotel_3173","I'll be back!!! This past July, we hotel hopped, Stayed in Fajardo, Isla Verde, and Ponce. Staying in Ponce allowed us to visit the central part of the Island (many mountains and incredibly beautiful) wich was only about half hour away. The northern part of Island was about 1 hour away and the West coast 30-45 min drive. We had never stayed at the Hilton, reading the reviews here helped us decide to risk it. Well worth it. Unfortunately, We only spent evenings and mornings there and did not enjoy the facilities enough. The next time down, we will spend more time at the hotel.The rooms were clean, neat and a sort of modern decor. The open lobby invites you to stay and enjoy the ocean breeze. The lower lobby restaurant, seemed to have a formal or semi formal setting, I'll try it next time. Pool was very spacious, many palm trees, and alot of facilities for the kids . Parking is extensive and the casino is entertaining and inexpensive . Staff couldn't be any friendlier. The beach is not good for swimming, but hey, 15-30 min away, you have many beautiful beaches.About 5 minutes south of the hotel is a place called La Guancha they have typical food and music. A beatiufl sunset there (currently my computer's background). The concierge gave us a map of Ponce, we visited downtown. Very historical; the architectural landscape was unbelievable, took some great pictures. People very friendly, a cop on every corner. Ck out the Fire Station, and have an Ice Cream at a store right in front of the fire station..... I had a coconut one and it was reallll gooodCan't wait to re-visit!!!","Aug 30, 2007","2","2",6,6,6,6,6,6,6,"4","$227"
"hotel_104","hotel_8265","Best holiday value getaway with super weather Have spent the last 3 Xmas vacations there and going back for the 4th time Dec 2007. Best weather on the island as it seldom rains on this side of the mountains. An easy drive 90 minutes from San Juan. They don't raise their rates during the holidays. Very nice rooms, beautifully landscaped pool area, beach is fair. Good restaurants in Ponce but a little tricky to find your way around downtown. Very nice golf course with 27 holes and very reasonable rates (less than half the golf rates in San Juan). Best value you can find during the holidays.","Aug 24, 2007","1","1",6,5,6,6,6,6,6,"4","$227"
"hotel_104","hotel_2813","Our 2nd visit We returned to Ponce after a visit perhaps 5-6 years ago. We stayed at the Hilton then and wanted to return. It was pretty much as remembered, though larger now. We really enjoyed the open lobby with the ocean breezes blowing through. Got a bounceback rate which included the breakfast which otherwise was $19/person. The Ponce Hilton is about a 2 hour drive from the San Juan airport. Warning.. PR drivers strongly favor riding along in the left hand lane. The slowest ones in particular migrate over to the left as soon as they can. It makes for maddening driving! Added since our last visit is a 27-hole golf course. They have a shuttle to take you over their bridge to the course. I got a really great rate on Saturday afternoon ---$50 after 2pm with complimentary clubs. Before 2 it would have been $75+$25 for the clubs! Lots of kids around the hotel. They offered free food for kids under 6(?) staying in parent's room. The large number of families seemed to be enjoying the hotel's recreational offerings, etc.Chose not to eat lunch/dinner there, but instead drove over to the restaurant El Ancla which is about a 5-7 min drive along the very industrial water front area. Very good seafood and service. Also wife came up with a 15% discount coupon when she took a tour of Ponce while I was playing golf. For lunch we did the waterfront area adjacent to the Hilton area (and before the industrial area) where there are many, many reasonable choices.","Jul 25, 2007","3","3",5,1,1,1,1,1,1,"4","$227"
